id,company,synthetic,category_verdict,status,qualification_score,estimated_opportunity,website,location,service_type,decision_makers,phone,email,contact_form_url,socials,score_breakdown,why,category_reason,estimated_opportunity_basis,data_completeness,provenance_complete,research_notes,source_provider,source_url,retrieved_at,scoring_config_version
boulder-home-electric-sample-boulder,Boulder Home Electric (SAMPLE),yes,ELECTRICAL,QUALIFIED,62,LOW,https://example.com/boulder-home-electric,"Boulder, CO, USA",residential electrical; electrician,,,contact@example.com,,,"core_electrical_category=30, established_website=10, service_area_match_partial=6, contactable=10, business_maturity=6",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_partial +6: Partially matches the target service area. | contactable +10: At least one contact channel is available. | business_maturity +6: Size signals indicate an established business.,"Electrical specialization found: electrician, residential electrical.","LOW from 35 reviews, 6y in business",0.857,yes,Residential electrician. No decision-maker legitimately available at research time.,fixture,https://example.com/boulder-home-electric,2026-08-13T06:07:38+00:00,1.0.0
longmont-electric-sample-longmont,Longmont Electric (SAMPLE),yes,ELECTRICAL,NEEDS_REVIEW,52,LOW,,"Longmont, CO, USA",electrical contractor; residential electrical,,+1-303-555-0112,info@example.com,,,"core_electrical_category=30, service_area_match_partial=6, contactable=10, business_maturity=6",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | service_area_match_partial +6: Partially matches the target service area. | contactable +10: At least one contact channel is available. | business_maturity +6: Size signals indicate an established business.,"Electrical specialization found: electrical contractor, residential electrical.","LOW from 30 reviews, 7y in business",0.714,yes,Real electrical contractor but NO website found (incomplete data). No decision-maker legitimately available at research time.,fixture,https://example.com/directory/longmont-electric,2026-08-13T06:07:38+00:00,1.0.0
castle-rock-electricians-sample-castle-rock,Castle Rock Electricians (SAMPLE),yes,ELECTRICAL,NEEDS_REVIEW,52,LOW,https://example.com/castle-rock-electric,"Castle Rock, CO, USA",electrician; electrical contractor,,,,,,"core_electrical_category=30, established_website=10, service_area_match_partial=6, business_maturity=6",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_partial +6: Partially matches the target service area. | business_maturity +6: Size signals indicate an established business.,"Electrical specialization found: electrical contractor, electrician, electricians.","LOW from 25 reviews, 5y in business",0.714,yes,Real electrical contractor but NO contact channel found (incomplete data). No decision-maker legitimately available at research time.,fixture,https://example.com/castle-rock-electric,2026-08-13T06:07:38+00:00,1.0.0
puresun-solar-sample-denver,PureSun Solar (SAMPLE),yes,ADJACENT,DISQUALIFIED,34,MEDIUM,https://example.com/puresun-solar,"Denver, CO, USA",solar; photovoltaic,,+1-303-555-0113,info@example.com,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=9, relevant_indicators=5, adjacent_only=-10","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business. | relevant_indicators +5: Mentions relevant electrical work (panel/wiring/etc.). | adjacent_only -10: Only adjacent services (e.g., solar/lighting) with no confirmed electrical-contractor category.","Adjacent services only (no core electrical category): photovoltaic, solar.","MEDIUM from 80 reviews, 9y in business",0.857,yes,"Solar-only, no confirmed electrical-contractor category — adjacent, needs review not auto-qualify. No decision-maker legitimately available at research time.",fixture,https://example.com/puresun-solar,2026-08-13T06:07:38+00:00,1.0.0
front-range-hvac-heating-sample-denver,Front Range HVAC & Heating (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,3,HIGH,https://example.com/front-range-hvac,"Denver, CO, USA",hvac; heating and cooling,,+1-303-555-0118,info@example.com,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=13, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +13: Size signals indicate an established business. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.","Non-electrical trade with no electrical specialization: heating and cooling, hvac.","HIGH from 50 employees, 140 reviews, 20y in business",0.857,yes,"HVAC company, not electrical. No decision-maker legitimately available at research time.",fixture,https://example.com/front-range-hvac,2026-08-13T06:07:38+00:00,1.0.0
denver-plumbing-pros-sample-denver,Denver Plumbing Pros (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,2,HIGH,https://example.com/denver-plumbing,"Denver, CO, USA",plumber; plumbing,,+1-303-555-0120,info@example.com,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=12, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +12: Size signals indicate an established business. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.","Non-electrical trade with no electrical specialization: plumber, plumbing.","HIGH from 120 reviews, 15y in business",0.857,yes,"Plumber, not electrical. No decision-maker legitimately available at research time.",fixture,https://example.com/denver-plumbing,2026-08-13T06:07:38+00:00,1.0.0
denver-general-contractors-llc-sample-denver,Denver General Contractors LLC (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,1,MEDIUM,https://example.com/denver-gc,"Denver, CO, USA",general contractor; remodeling,,+1-303-555-0114,info@example.com,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=11, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +11: Size signals indicate an established business. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.","Non-electrical trade with no electrical specialization: general contractor, remodeling.","MEDIUM from 40 employees, 100 reviews, 18y in business",0.857,yes,"General contractor, no electrical specialization. No decision-maker legitimately available at research time.",fixture,https://example.com/denver-gc,2026-08-13T06:07:38+00:00,1.0.0
mountain-build-general-contracting-sample-denver,Mountain Build General Contracting (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,0,MEDIUM,https://example.com/mountain-build,"Denver, CO, USA",general contractor,,+1-303-555-0115,,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=9, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.",Non-electrical trade with no electrical specialization: general contractor.,"MEDIUM from 60 reviews, 11y in business",0.857,yes,"General contractor, no electrical. No decision-maker legitimately available at research time.",fixture,https://example.com/mountain-build,2026-08-13T06:07:38+00:00,1.0.0
denver-handyman-minor-electrical-sample-denver,Denver Handyman & Minor Electrical (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,0,MEDIUM,https://example.com/denver-handyman,"Denver, CO, USA",handyman; home repair; minor electrical work,,+1-303-555-0116,info@example.com,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=9, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.","Non-electrical trade with no electrical specialization: handyman, home repair.","MEDIUM from 45 reviews, 6y in business",0.857,yes,Handyman advertising 'minor electrical' — this is the Q1 regression case; must NOT qualify. No decision-maker legitimately available at research time.,fixture,https://example.com/denver-handyman,2026-08-13T06:07:38+00:00,1.0.0
handy-home-helpers-sample-denver,Handy Home Helpers (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,0,UNKNOWN,https://example.com/handy-home-helpers,"Denver, CO, USA",handyman,,+1-303-555-0117,,,,"established_website=10, service_area_match_full=10, contactable=10, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.",Non-electrical trade with no electrical specialization: handyman.,No size signals available.,0.714,yes,Handyman. No decision-maker legitimately available at research time.,fixture,https://example.com/handy-home-helpers,2026-08-13T06:07:38+00:00,1.0.0
coolair-hvac-services-sample-denver,CoolAir HVAC Services (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,0,LOW,https://example.com/coolair-hvac,"Denver, CO, USA",hvac; air conditioning,,+1-303-555-0119,,,,"established_website=10, service_area_match_full=10, contactable=10, business_maturity=6, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +6: Size signals indicate an established business. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.","Non-electrical trade with no electrical specialization: air conditioning, hvac.","LOW from 30 reviews, 8y in business",0.857,yes,HVAC. No decision-maker legitimately available at research time.,fixture,https://example.com/coolair-hvac,2026-08-13T06:07:38+00:00,1.0.0
rooter-plumbing-co-sample-denver,Rooter Plumbing Co (SAMPLE),yes,NON_ELECTRICAL,DISQUALIFIED,0,UNKNOWN,https://example.com/rooter-plumbing,"Denver, CO, USA",plumbing,,+1-303-555-0121,,,,"established_website=10, service_area_match_full=10, contactable=10, non_electrical_trade=-40","established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | non_electrical_trade -40: Primary trade is non-electrical (e.g., handyman/plumber/HVAC/general contractor) with no electrical specialization.",Non-electrical trade with no electrical specialization: plumbing.,No size signals available.,0.714,yes,Plumbing. No decision-maker legitimately available at research time.,fixture,https://example.com/rooter-plumbing,2026-08-13T06:07:38+00:00,1.0.0
